## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/data/fraimund/ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA12878/alignment/NA12878.mapped.ILLUMINA.bwa.CEU.low_coverage.20121211.sort.bam OUTPUT=insert_size_metrics.txt VALIDATION_STRINGENCY=SILENT    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 16 18:40:40 CET 2018

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
386	398	19	1	243082685	379.108905	38.664315	77405132	FR	9	15	23	31	39	49	61	79	119	165	353			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
1	10
2	8
3	9
4	11
5	15
6	10
7	7
8	11
9	10
10	11
11	11
12	19
13	13
14	14
15	7
16	9
17	11
18	13
19	18
20	17
21	15
22	9
23	10
24	16
25	9
26	13
27	8
28	8
29	9
30	10
31	21
32	41
33	58
34	52
35	72
36	72
37	81
38	89
39	83
40	94
41	84
42	96
43	86
44	111
45	125
46	113
47	118
48	128
49	140
50	122
51	132
52	147
53	150
54	152
55	149
56	169
57	186
58	165
59	204
60	193
61	179
62	193
63	189
64	176
65	186
66	189
67	208
68	228
69	216
70	196
71	222
72	196
73	212
74	195
75	216
76	179
77	233
78	233
79	226
80	223
81	232
82	219
83	207
84	211
85	254
86	265
87	271
88	270
89	332
90	401
91	617
92	1024
93	1302
94	1766
95	1725
96	1836
97	1827
98	1849
99	1894
100	1921
101	1971
102	2115
103	2065
104	2079
105	2122
106	2059
107	2072
108	2012
109	2133
110	2107
111	2085
112	2066
113	2087
114	2143
115	2022
116	2068
117	2143
118	2142
119	2070
120	2139
121	2153
122	2148
123	2176
124	2161
125	2083
126	2116
127	2189
128	2193
129	2207
130	2128
131	2175
132	2150
133	2229
134	2121
135	2168
136	2246
137	2187
138	2235
139	2209
140	2265
141	2292
142	2311
143	2347
144	2389
145	2262
146	2478
147	2258
148	2307
149	2284
150	2376
151	2282
152	2398
153	2357
154	2303
155	2432
156	2488
157	2419
158	2556
159	2529
160	2568
161	2516
162	2488
163	2568
164	2651
165	2528
166	2632
167	2629
168	2673
169	2655
170	2726
171	2711
172	2751
173	2785
174	2860
175	2792
176	2877
177	2850
178	2951
179	2887
180	3020
181	2999
182	2977
183	3089
184	3041
185	3120
186	3141
187	3205
188	3168
189	3239
190	3301
191	3432
192	3507
193	3445
194	3586
195	3562
196	3513
197	3743
198	3734
199	3767
200	3862
201	3824
202	4090
203	4110
204	4190
205	4239
206	4107
207	4381
208	4420
209	4708
210	4661
211	4809
212	4907
213	5062
214	5068
215	5234
216	5300
217	5453
218	5591
219	5647
220	5806
221	5984
222	5961
223	6327
224	6460
225	6498
226	6732
227	6916
228	7043
229	7246
230	7645
231	7730
232	7844
233	7951
234	8387
235	8324
236	8669
237	8876
238	8994
239	9350
240	9627
241	9831
242	10122
243	10347
244	10658
245	10806
246	11180
247	11797
248	11974
249	12379
250	12729
251	13092
252	13568
253	13974
254	14475
255	14632
256	15361
257	15879
258	16362
259	17032
260	18069
261	18687
262	19253
263	20143
264	20826
265	21865
266	22306
267	23198
268	23958
269	24651
270	25464
271	26351
272	27116
273	27841
274	28565
275	29480
276	30108
277	30879
278	32113
279	33120
280	33968
281	34683
282	36084
283	36718
284	37944
285	39045
286	40119
287	41475
288	42739
289	44558
290	45630
291	47619
292	49214
293	50820
294	52906
295	55198
296	57466
297	59584
298	62291
299	64973
300	67894
301	71165
302	74550
303	77319
304	81953
305	86031
306	89601
307	93175
308	98247
309	103003
310	108335
311	113592
312	118732
313	125267
314	130144
315	136558
316	143085
317	148543
318	155640
319	163927
320	171121
321	178800
322	187263
323	196005
324	203586
325	212478
326	220602
327	230914
328	239996
329	249551
330	259462
331	269946
332	278628
333	289113
334	299961
335	308878
336	318087
337	328648
338	338539
339	346994
340	356889
341	367760
342	377960
343	387945
344	398329
345	408018
346	416721
347	427689
348	437857
349	448370
350	459786
351	470196
352	481152
353	492243
354	504799
355	514596
356	524882
357	534577
358	545884
359	556306
360	564965
361	577246
362	588610
363	600363
364	610793
365	621795
366	632496
367	644397
368	654842
369	666491
370	680421
371	695794
372	707140
373	721764
374	739941
375	754662
376	771372
377	792301
378	818445
379	837605
380	863414
381	888926
382	918589
383	947421
384	977872
385	1006574
386	1035880
387	1070383
388	1101643
389	1133952
390	1166691
391	1196359
392	1221280
393	1247224
394	1270102
395	1286686
396	1300165
397	1309270
398	1310516
399	1302390
400	1293779
401	1276140
402	1255897
403	1228247
404	1193818
405	1156008
406	1113658
407	1067176
408	1015962
409	959895
410	902590
411	846197
412	784176
413	724494
414	664415
415	605592
416	550234
417	492558
418	439932
419	390391
420	344093
421	302722
422	263142
423	229160
424	199213
425	172611
426	149599
427	130655
428	113879
429	100085
430	88504
431	79188
432	70514
433	63842
434	58352
435	53255
436	48954
437	45124
438	42608
439	39480
440	37014
441	35044
442	33350
443	31567
444	29927
445	28290
446	27407
447	26366
448	25288
449	24620
450	23460
451	22771
452	22096
453	21566
454	21083
455	20580
456	20176
457	19687
458	19041
459	18521
460	18411
461	18160
462	17764
463	17443
464	17269
465	16914
466	16517
467	16473
468	15961
469	15811
470	15631
471	15361
472	15129
473	14916
474	14540
475	14237
476	14353
477	13840
478	13960
479	13608
480	13351
481	13245
482	12973
483	13098
484	12825
485	12613
486	12709
487	12850
488	12800
489	12287
490	11980
491	11592
492	11051
493	11150
494	10924
495	10538
496	10787
497	10556
498	10395
499	10274
500	10265
501	10188
502	9878
503	9741
504	9780
505	9586
506	9528
507	9336
508	9338
509	9364
510	9266
511	8950
512	8967
513	8979
514	8655
515	8834
516	8634
517	8661
518	8647
519	8761
520	9026
521	8729
522	8381
523	8068
524	7841
525	7722
526	7691
527	7631
528	7612
529	7554
530	7219
531	7388
532	6984
533	6826
534	6795
535	6727
536	6587
537	6538
538	6377
539	6396
540	6273
541	6180
542	6026
543	6037
544	5899
545	5963
546	5863
547	5830
548	5783
549	5655
550	5530
551	5520
552	5376
553	5382
554	5427
555	5447
556	5198
557	5194
558	5002
559	5015
560	4940
561	4827
562	4877
563	4821
564	4712
565	4616
566	4678
567	4668
568	4471
569	4360
570	4459
571	4266
572	4204
573	4160
574	4136
575	4048
576	3983

